NCBI_gene:55768	OMIM:615273
NCBI_gene:355	ORPHANET:85408
NCBI_gene:1643	OMIM:278740
NCBI_gene:79583	ORPHANET:220493
NCBI_gene:6792	OMIM:105830
NCBI_gene:112802	ORPHANET:170
NCBI_gene:2316	OMIM:300049
NCBI_gene:55315	OMIM:602782
NCBI_gene:324	OMIM:114550
NCBI_gene:6833	OMIM:610374
NCBI_gene:3394	OMIM:614893
NCBI_gene:4287	OMIM:109150
NCBI_gene:1294	OMIM:607523
NCBI_gene:1277	OMIM:259420
NCBI_gene:8910	OMIM:159900
NCBI_gene:2645	OMIM:125853
NCBI_gene:1280	OMIM:183900
NCBI_gene:4359	OMIM:118200
NCBI_gene:11041	OMIM:615287
NCBI_gene:84197	ORPHANET:899
NCBI_gene:5071	OMIM:211980
NCBI_gene:657	OMIM:174900
NCBI_gene:4763	OMIM:162210
NCBI_gene:5913	OMIM:208150
NCBI_gene:729	OMIM:217050
NCBI_gene:5019	OMIM:245050
NCBI_gene:3339	OMIM:224410
NCBI_gene:5274	OMIM:604218
NCBI_gene:22861	OMIM:615225
NCBI_gene:3423	OMIM:309900
NCBI_gene:54463	OMIM:613115
NCBI_gene:3248	OMIM:119900
NCBI_gene:375790	OMIM:254300
NCBI_gene:2639	OMIM:231670
NCBI_gene:4297	OMIM:159555
NCBI_gene:135935	OMIM:611548
NCBI_gene:6905	OMIM:244460
NCBI_gene:22948	OMIM:256840
NCBI_gene:2263	OMIM:123790
NCBI_gene:3851	OMIM:193900
NCBI_gene:3972	OMIM:152780
NCBI_gene:7421	ORPHANET:93160
NCBI_gene:286	ORPHANET:251066
NCBI_gene:4010	OMIM:161200
NCBI_gene:7050	OMIM:142946
NCBI_gene:1294	ORPHANET:158676
NCBI_gene:1277	OMIM:166220
NCBI_gene:5080	OMIM:165550
NCBI_gene:8803	OMIM:612073
NCBI_gene:1297	ORPHANET:250984
NCBI_gene:130557	ORPHANET:791
NCBI_gene:724066	OMIM:608768
NCBI_gene:7291	ORPHANET:35099
NCBI_gene:80144	OMIM:219000
NCBI_gene:2189	ORPHANET:84
NCBI_gene:57165	OMIM:613206
NCBI_gene:7401	OMIM:276902
NCBI_gene:23111	OMIM:275900
NCBI_gene:6638	OMIM:176270
NCBI_gene:1490	ORPHANET:220402
NCBI_gene:9496	OMIM:147891
NCBI_gene:6575	OMIM:213600
NCBI_gene:5604	ORPHANET:1340
NCBI_gene:23435	OMIM:612069
NCBI_gene:7157	OMIM:151623
NCBI_gene:5189	OMIM:601539
NCBI_gene:7124	OMIM:157300
NCBI_gene:63925	OMIM:615095
NCBI_gene:3897	ORPHANET:388
NCBI_gene:23568	OMIM:615434
NCBI_gene:5885	ORPHANET:199
NCBI_gene:6121	ORPHANET:791
NCBI_gene:545	OMIM:614564
NCBI_gene:126328	OMIM:252010
NCBI_gene:1080	OMIM:277180
NCBI_gene:125972	OMIM:613875
NCBI_gene:57539	OMIM:614091
NCBI_gene:3717	OMIM:263300
NCBI_gene:7200	OMIM:275120
NCBI_gene:7840	OMIM:203800
NCBI_gene:10058	ORPHANET:241
NCBI_gene:5339	OMIM:612138
NCBI_gene:85320	OMIM:117800
NCBI_gene:5194	ORPHANET:44
NCBI_gene:2316	OMIM:300537
NCBI_gene:128178	OMIM:614941
NCBI_gene:3373	OMIM:601492
NCBI_gene:1293	OMIM:158810
NCBI_gene:5191	ORPHANET:773
NCBI_gene:27077	OMIM:614209
NCBI_gene:285203	OMIM:615297
NCBI_gene:3815	ORPHANET:79455
NCBI_gene:79809	ORPHANET:474
NCBI_gene:9126	ORPHANET:199
NCBI_gene:7015	ORPHANET:618
NCBI_gene:2260	OMIM:147950
NCBI_gene:3977	OMIM:601559
NCBI_gene:4990	ORPHANET:264200
NCBI_gene:3043	ORPHANET:231242
NCBI_gene:6324	OMIM:604233
NCBI_gene:5376	OMIM:145900
NCBI_gene:65018	OMIM:605909
NCBI_gene:1557	OMIM:609535
NCBI_gene:10019	OMIM:133100
NCBI_gene:486	OMIM:154020
NCBI_gene:5896	OMIM:233650
NCBI_gene:2628	OMIM:612718
NCBI_gene:28982	OMIM:609033
NCBI_gene:5243	OMIM:612244
NCBI_gene:6855	ORPHANET:777
NCBI_gene:5605	ORPHANET:1340
NCBI_gene:57716	OMIM:614895
NCBI_gene:2218	ORPHANET:588
NCBI_gene:57082	OMIM:604321
NCBI_gene:5745	OMIM:156400
NCBI_gene:2261	OMIM:149730
NCBI_gene:4117	ORPHANET:791
NCBI_gene:6223	ORPHANET:124
NCBI_gene:7042	OMIM:614816
NCBI_gene:6523	OMIM:606824
NCBI_gene:1453	OMIM:615224
NCBI_gene:4126	OMIM:248510
NCBI_gene:5479	OMIM:259440
NCBI_gene:4204	OMIM:300260
NCBI_gene:7355	OMIM:300896
NCBI_gene:5290	OMIM:162900
NCBI_gene:7102	ORPHANET:777
NCBI_gene:9841	ORPHANET:2268
NCBI_gene:7544	OMIM:490000
NCBI_gene:51259	ORPHANET:2754
NCBI_gene:1019	ORPHANET:99971
NCBI_gene:1636	OMIM:267430
NCBI_gene:5781	ORPHANET:500
NCBI_gene:10558	OMIM:162400
NCBI_gene:6010	OMIM:613731
NCBI_gene:9	OMIM:108345
NCBI_gene:9241	ORPHANET:1412
NCBI_gene:4719	OMIM:252010
NCBI_gene:5959	OMIM:136880
NCBI_gene:4763	OMIM:193520
NCBI_gene:55703	ORPHANET:88637
NCBI_gene:23096	OMIM:309530
NCBI_gene:132158	OMIM:220120
NCBI_gene:6197	OMIM:303600
NCBI_gene:201163	OMIM:144700
NCBI_gene:8289	OMIM:614607
NCBI_gene:7380	OMIM:191830
NCBI_gene:324	OMIM:175100
NCBI_gene:55612	OMIM:173650
NCBI_gene:5122	OMIM:600955
NCBI_gene:4705	OMIM:256000
NCBI_gene:8517	OMIM:308300
NCBI_gene:55120	OMIM:614083
NCBI_gene:7066	ORPHANET:71493
NCBI_gene:6448	OMIM:252900
NCBI_gene:79784	OMIM:600652
NCBI_gene:2182	OMIM:300387
NCBI_gene:8260	OMIM:300855
NCBI_gene:8626	OMIM:603543
NCBI_gene:6697	OMIM:612716
NCBI_gene:3559	ORPHANET:85408
NCBI_gene:2643	OMIM:233910
NCBI_gene:9860	OMIM:615112
NCBI_gene:1832	OMIM:605676
NCBI_gene:6567	OMIM:300523
NCBI_gene:2263	OMIM:123500
NCBI_gene:4935	OMIM:300500
NCBI_gene:11200	OMIM:259500
NCBI_gene:2202	OMIM:126600
NCBI_gene:5744	ORPHANET:93387
NCBI_gene:7555	OMIM:602668
NCBI_gene:845	ORPHANET:3286
NCBI_gene:4646	OMIM:606346
NCBI_gene:4867	ORPHANET:3156
NCBI_gene:59	OMIM:614042
NCBI_gene:79628	OMIM:613353
NCBI_gene:2706	OMIM:124500
NCBI_gene:5071	OMIM:167000
NCBI_gene:210	OMIM:612740
NCBI_gene:9702	ORPHANET:1052
NCBI_gene:22954	OMIM:254110
NCBI_gene:9244	OMIM:272430
NCBI_gene:917	OMIM:186740
NCBI_gene:337	OMIM:107690
NCBI_gene:3766	OMIM:612780
NCBI_gene:1280	OMIM:604864
NCBI_gene:673	ORPHANET:500
NCBI_gene:3043	ORPHANET:231249
NCBI_gene:70	ORPHANET:154
NCBI_gene:1294	OMIM:226600
NCBI_gene:1131	OMIM:100100
NCBI_gene:137814	OMIM:217095
NCBI_gene:28234	OMIM:237450
NCBI_gene:4000	OMIM:159001
NCBI_gene:2997	OMIM:611556
NCBI_gene:1588	OMIM:139300
NCBI_gene:2200	ORPHANET:3449
NCBI_gene:1776	ORPHANET:36412
NCBI_gene:1908	ORPHANET:897
NCBI_gene:6469	OMIM:269160
NCBI_gene:729920	OMIM:614643
NCBI_gene:4222	ORPHANET:2345
NCBI_gene:7169	ORPHANET:1146
NCBI_gene:170691	OMIM:613195
NCBI_gene:6323	OMIM:607208
NCBI_gene:57096	OMIM:608194
NCBI_gene:4704	OMIM:256000
NCBI_gene:1666	OMIM:222745
NCBI_gene:7112	ORPHANET:154
NCBI_gene:8671	OMIM:604278
NCBI_gene:2629	OMIM:230900
NCBI_gene:8625	OMIM:209920
NCBI_gene:6455	OMIM:601626
NCBI_gene:8643	OMIM:605462
NCBI_gene:57477	OMIM:300434
NCBI_gene:488	OMIM:101900
NCBI_gene:1420	OMIM:604307
NCBI_gene:1140	OMIM:601462
NCBI_gene:7490	OMIM:256370
NCBI_gene:85378	OMIM:251270
NCBI_gene:1281	OMIM:130050
NCBI_gene:675	OMIM:605724
NCBI_gene:8842	OMIM:603786
NCBI_gene:547	OMIM:614255
NCBI_gene:25782	OMIM:614225
NCBI_gene:6663	OMIM:609136
NCBI_gene:4117	OMIM:614181
NCBI_gene:81857	OMIM:605589
NCBI_gene:324	OMIM:114500
NCBI_gene:1201	OMIM:204200
NCBI_gene:6888	OMIM:606003
NCBI_gene:5468	OMIM:601665
NCBI_gene:246329	OMIM:255995
NCBI_gene:3425	OMIM:607014
NCBI_gene:57728	OMIM:614376
NCBI_gene:5339	OMIM:131950
NCBI_gene:10345	ORPHANET:3286
NCBI_gene:3785	ORPHANET:1949
NCBI_gene:5264	OMIM:266500
NCBI_gene:5573	OMIM:255960
NCBI_gene:859	OMIM:123320
NCBI_gene:389434	OMIM:274800
NCBI_gene:284119	OMIM:613327
NCBI_gene:64324	ORPHANET:821
NCBI_gene:84627	OMIM:229200
NCBI_gene:112476	ORPHANET:569
NCBI_gene:4210	OMIM:134610
NCBI_gene:6555	OMIM:613291
NCBI_gene:7471	OMIM:615220
NCBI_gene:3159	OMIM:125853
NCBI_gene:4163	OMIM:114500
NCBI_gene:7169	OMIM:601680
NCBI_gene:2664	ORPHANET:777
NCBI_gene:1135	OMIM:610353
NCBI_gene:2068	ORPHANET:220295
NCBI_gene:4054	ORPHANET:99798
NCBI_gene:3861	OMIM:131800
NCBI_gene:8565	OMIM:608323
NCBI_gene:2706	ORPHANET:477
NCBI_gene:6335	ORPHANET:970
NCBI_gene:1910	ORPHANET:897
NCBI_gene:26047	OMIM:610042
NCBI_gene:7503	OMIM:300087
NCBI_gene:129563	OMIM:267000
NCBI_gene:7849	ORPHANET:95713
NCBI_gene:2937	OMIM:231900
NCBI_gene:166379	OMIM:209900
NCBI_gene:7068	ORPHANET:97927
NCBI_gene:113235	OMIM:229050
NCBI_gene:6928	OMIM:125853
NCBI_gene:2521	OMIM:608030
NCBI_gene:22845	OMIM:610768
NCBI_gene:6299	OMIM:107480
NCBI_gene:22852	OMIM:188000
NCBI_gene:4137	OMIM:172700
NCBI_gene:83990	OMIM:609054
NCBI_gene:3679	ORPHANET:2020
NCBI_gene:63982	OMIM:615034
NCBI_gene:55624	OMIM:613151
NCBI_gene:3145	OMIM:176000
NCBI_gene:115650	ORPHANET:1572
NCBI_gene:1678	OMIM:311150
NCBI_gene:7148	OMIM:130020
NCBI_gene:8869	OMIM:609056
NCBI_gene:8091	ORPHANET:94063
NCBI_gene:5428	OMIM:607459
NCBI_gene:10381	OMIM:614039
NCBI_gene:1123	ORPHANET:233
NCBI_gene:3791	OMIM:602089
NCBI_gene:4647	OMIM:276900
NCBI_gene:10133	OMIM:137760
NCBI_gene:1583	OMIM:613743
NCBI_gene:5106	OMIM:261650
NCBI_gene:4621	OMIM:193700
NCBI_gene:8915	OMIM:137245
NCBI_gene:1289	OMIM:130010
NCBI_gene:1296	OMIM:136800
NCBI_gene:2694	OMIM:261000
NCBI_gene:83636	OMIM:614298
NCBI_gene:2052	OMIM:607748
NCBI_gene:92335	OMIM:611087
NCBI_gene:1499	OMIM:114550
NCBI_gene:4893	OMIM:614470
NCBI_gene:90167	OMIM:310700
NCBI_gene:1286	OMIM:203780
NCBI_gene:80254	OMIM:614728
NCBI_gene:4053	OMIM:614819
NCBI_gene:58	OMIM:255310
NCBI_gene:5236	OMIM:614921
NCBI_gene:6468	ORPHANET:2440
NCBI_gene:283953	ORPHANET:2543
NCBI_gene:9380	OMIM:260000
NCBI_gene:4352	OMIM:601977
NCBI_gene:175	OMIM:208400
NCBI_gene:137682	OMIM:256000
NCBI_gene:124590	OMIM:606943
NCBI_gene:8241	OMIM:311900
NCBI_gene:51259	ORPHANET:2318
NCBI_gene:2334	OMIM:309548
NCBI_gene:10804	OMIM:220290
NCBI_gene:5449	OMIM:613038
NCBI_gene:3122	OMIM:142860
NCBI_gene:7490	OMIM:194080
NCBI_gene:1280	OMIM:132450
NCBI_gene:84464	ORPHANET:84
NCBI_gene:6337	OMIM:613021
NCBI_gene:8838	OMIM:208230
NCBI_gene:3815	OMIM:606764
NCBI_gene:6521	OMIM:612653
NCBI_gene:2	OMIM:614036
NCBI_gene:3973	OMIM:238320
NCBI_gene:3868	ORPHANET:2309
NCBI_gene:6948	OMIM:275350
NCBI_gene:51004	OMIM:614650
NCBI_gene:2263	OMIM:609579
NCBI_gene:367	ORPHANET:99429
NCBI_gene:2273	OMIM:300717
NCBI_gene:1890	OMIM:603041
NCBI_gene:570	OMIM:607748
NCBI_gene:1293	OMIM:254090
NCBI_gene:9440	OMIM:613668
NCBI_gene:3123	ORPHANET:2073
NCBI_gene:1355	OMIM:615119
NCBI_gene:1380	OMIM:614699
NCBI_gene:5213	OMIM:232800
NCBI_gene:6833	OMIM:606176
NCBI_gene:5160	OMIM:308930
NCBI_gene:6901	ORPHANET:154
NCBI_gene:3913	OMIM:609049
NCBI_gene:1767	ORPHANET:244
NCBI_gene:5339	OMIM:226670
NCBI_gene:1763	OMIM:615156
NCBI_gene:7456	OMIM:614493
NCBI_gene:30813	OMIM:614195
NCBI_gene:79955	ORPHANET:231178
NCBI_gene:4089	OMIM:175050
NCBI_gene:7490	OMIM:136680
NCBI_gene:5664	ORPHANET:154
NCBI_gene:4878	OMIM:612201
NCBI_gene:3930	OMIM:169400
NCBI_gene:410	OMIM:250100
NCBI_gene:88	ORPHANET:154
NCBI_gene:129563	ORPHANET:654
NCBI_gene:56262	OMIM:613506
NCBI_gene:3028	OMIM:300705
NCBI_gene:4487	ORPHANET:99798
NCBI_gene:100151683	ORPHANET:2636
NCBI_gene:7253	ORPHANET:95713
NCBI_gene:1296	OMIM:609140
NCBI_gene:340665	OMIM:614974
NCBI_gene:25861	ORPHANET:231178
NCBI_gene:948	OMIM:608404
NCBI_gene:3875	OMIM:215600
NCBI_gene:84987	OMIM:220110
NCBI_gene:4693	OMIM:305390
NCBI_gene:57724	OMIM:242840
NCBI_gene:5781	OMIM:163950
NCBI_gene:9531	OMIM:612954
NCBI_gene:5358	OMIM:300910
NCBI_gene:89780	ORPHANET:85193
NCBI_gene:5894	OMIM:611553
NCBI_gene:1491	OMIM:219500
NCBI_gene:6906	OMIM:314200
NCBI_gene:4647	ORPHANET:231169
NCBI_gene:79809	OMIM:613819
NCBI_gene:57096	OMIM:613826
NCBI_gene:2516	ORPHANET:243
NCBI_gene:79659	ORPHANET:474
NCBI_gene:1674	OMIM:604765
NCBI_gene:8504	ORPHANET:772
NCBI_gene:9990	OMIM:218000
NCBI_gene:9459	ORPHANET:777
NCBI_gene:242	ORPHANET:281122
NCBI_gene:2697	OMIM:257850
NCBI_gene:3043	OMIM:140700
NCBI_gene:8813	OMIM:608799
NCBI_gene:1106	OMIM:615369
NCBI_gene:3921	OMIM:604400
NCBI_gene:8818	OMIM:615042
NCBI_gene:5189	ORPHANET:44
NCBI_gene:4851	OMIM:109730
NCBI_gene:4643	OMIM:614131
NCBI_gene:29887	ORPHANET:667
NCBI_gene:57545	ORPHANET:564
NCBI_gene:7436	ORPHANET:1766
NCBI_gene:22897	ORPHANET:3156
NCBI_gene:8291	OMIM:254130
NCBI_gene:4720	OMIM:252010
NCBI_gene:2263	ORPHANET:93260
NCBI_gene:778	OMIM:300476
NCBI_gene:7092	OMIM:613087
NCBI_gene:9409	OMIM:614876
NCBI_gene:9531	ORPHANET:154
NCBI_gene:6718	OMIM:235555
NCBI_gene:2778	OMIM:103580
NCBI_gene:1282	OMIM:175780
NCBI_gene:2261	OMIM:612247
NCBI_gene:6331	OMIM:601154
NCBI_gene:79977	OMIM:608641
NCBI_gene:207	OMIM:176920
NCBI_gene:6925	OMIM:610954
NCBI_gene:84665	ORPHANET:154
NCBI_gene:3914	OMIM:226650
NCBI_gene:65080	OMIM:615395
NCBI_gene:4041	OMIM:259770
NCBI_gene:64421	OMIM:602450
NCBI_gene:53	OMIM:200950
NCBI_gene:5741	OMIM:146200
NCBI_gene:79188	OMIM:614302
NCBI_gene:124093	OMIM:614807
NCBI_gene:84140	OMIM:606068
NCBI_gene:54919	ORPHANET:244
NCBI_gene:4604	OMIM:614915
NCBI_gene:8163	OMIM:602197
NCBI_gene:286676	OMIM:609646
NCBI_gene:355	ORPHANET:85410
NCBI_gene:545	ORPHANET:808
NCBI_gene:3630	OMIM:125852
NCBI_gene:388551	OMIM:614614
NCBI_gene:4854	OMIM:125310
NCBI_gene:9180	OMIM:105250
NCBI_gene:10804	OMIM:129500
NCBI_gene:57017	OMIM:614654
NCBI_gene:5894	ORPHANET:648
NCBI_gene:1630	OMIM:157600
NCBI_gene:2629	OMIM:231005
NCBI_gene:91574	OMIM:613559
NCBI_gene:966	OMIM:612300
NCBI_gene:23746	ORPHANET:65
NCBI_gene:1075	OMIM:245010
NCBI_gene:7399	ORPHANET:231178
NCBI_gene:22856	OMIM:605282
NCBI_gene:27030	OMIM:614385
NCBI_gene:7010	OMIM:600195
NCBI_gene:4625	OMIM:192600
NCBI_gene:788	OMIM:212138
NCBI_gene:867	OMIM:613563
NCBI_gene:3043	OMIM:603903
NCBI_gene:5828	ORPHANET:44
NCBI_gene:8085	ORPHANET:2322
NCBI_gene:8820	ORPHANET:226307
NCBI_gene:60	OMIM:607371
NCBI_gene:2071	OMIM:610651
NCBI_gene:9742	OMIM:266920
NCBI_gene:6201	ORPHANET:124
NCBI_gene:51604	OMIM:615398
NCBI_gene:7287	ORPHANET:65
NCBI_gene:25788	OMIM:114500
NCBI_gene:2798	OMIM:228300
NCBI_gene:1308	ORPHANET:79406
NCBI_gene:1807	OMIM:222748
NCBI_gene:5146	OMIM:613093
NCBI_gene:55650	OMIM:239300
NCBI_gene:203859	OMIM:613319
NCBI_gene:84839	OMIM:610381
NCBI_gene:1284	OMIM:614483
NCBI_gene:56172	ORPHANET:1522
NCBI_gene:5828	ORPHANET:912
NCBI_gene:1439	OMIM:614370
NCBI_gene:91662	OMIM:611762
NCBI_gene:3251	ORPHANET:510
NCBI_gene:5781	OMIM:607785
NCBI_gene:11078	OMIM:609823
NCBI_gene:158326	OMIM:608980
NCBI_gene:70	OMIM:612794
NCBI_gene:55112	OMIM:615503
NCBI_gene:51604	OMIM:615399
NCBI_gene:10134	OMIM:300475
NCBI_gene:5194	ORPHANET:912
NCBI_gene:91574	OMIM:615035
NCBI_gene:11160	OMIM:611225
NCBI_gene:2707	OMIM:220290
NCBI_gene:10516	ORPHANET:90349
NCBI_gene:338917	OMIM:610092
NCBI_gene:120227	OMIM:600081
NCBI_gene:1969	OMIM:116600
NCBI_gene:50940	ORPHANET:189439
NCBI_gene:57502	OMIM:300495
NCBI_gene:3052	OMIM:309801
NCBI_gene:11146	OMIM:138000
NCBI_gene:221421	OMIM:612650
NCBI_gene:387281	OMIM:613985
NCBI_gene:1540	OMIM:605041
NCBI_gene:249	OMIM:241500
NCBI_gene:7249	ORPHANET:805
NCBI_gene:23395	OMIM:615300
NCBI_gene:27429	OMIM:610297
NCBI_gene:2904	OMIM:613970
NCBI_gene:84839	OMIM:613757
NCBI_gene:26353	OMIM:158590
NCBI_gene:95681	ORPHANET:475
NCBI_gene:54888	OMIM:611091
NCBI_gene:6331	ORPHANET:154
NCBI_gene:710	OMIM:120790
NCBI_gene:56945	OMIM:611719
NCBI_gene:6584	OMIM:212140
NCBI_gene:4893	OMIM:188470
NCBI_gene:114548	OMIM:120100
NCBI_gene:79659	OMIM:615087
NCBI_gene:554	OMIM:300539
NCBI_gene:6125	ORPHANET:124
NCBI_gene:54768	ORPHANET:244
NCBI_gene:3209	OMIM:140000
NCBI_gene:1371	OMIM:121300
NCBI_gene:3931	OMIM:136120
NCBI_gene:207	OMIM:114480
NCBI_gene:4137	OMIM:601104
NCBI_gene:8398	OMIM:256600
NCBI_gene:1789	ORPHANET:2268
NCBI_gene:6899	OMIM:188400
NCBI_gene:10342	OMIM:612237
NCBI_gene:57697	OMIM:614087
NCBI_gene:6390	ORPHANET:201
NCBI_gene:23322	OMIM:611560
NCBI_gene:374654	ORPHANET:2189
NCBI_gene:1258	ORPHANET:791
NCBI_gene:2243	OMIM:202400
NCBI_gene:8481	OMIM:300209
NCBI_gene:4669	OMIM:252920
NCBI_gene:9241	OMIM:186500
NCBI_gene:1302	OMIM:614524
NCBI_gene:178	OMIM:232400
NCBI_gene:1050	OMIM:601626
NCBI_gene:5265	OMIM:613490
NCBI_gene:6231	ORPHANET:124
NCBI_gene:23133	OMIM:300263
NCBI_gene:55651	ORPHANET:1775
NCBI_gene:7274	OMIM:277460
NCBI_gene:7284	OMIM:610678
NCBI_gene:1140	OMIM:608931
NCBI_gene:2815	OMIM:231200
NCBI_gene:4038	OMIM:614305
NCBI_gene:2623	OMIM:300367
NCBI_gene:80184	OMIM:610188
NCBI_gene:4308	OMIM:613216
NCBI_gene:596	OMIM:151430
NCBI_gene:4068	ORPHANET:2442
NCBI_gene:113278	ORPHANET:97229
NCBI_gene:4233	OMIM:605074
NCBI_gene:283310	OMIM:614944
NCBI_gene:3587	OMIM:613148
NCBI_gene:735	OMIM:613825
NCBI_gene:4000	OMIM:212112
NCBI_gene:7439	OMIM:193220
NCBI_gene:11178	OMIM:133239
NCBI_gene:1476	OMIM:254800
NCBI_gene:6103	OMIM:300834
NCBI_gene:9131	OMIM:310490
NCBI_gene:91851	OMIM:309300
NCBI_gene:22995	OMIM:614852
NCBI_gene:212	OMIM:300751
NCBI_gene:4000	OMIM:115200
NCBI_gene:1938	OMIM:609306
NCBI_gene:6390	OMIM:606864
NCBI_gene:51259	OMIM:608091
NCBI_gene:389434	ORPHANET:95716
NCBI_gene:3561	OMIM:300400
NCBI_gene:2187	OMIM:300514
NCBI_gene:79867	OMIM:613885
NCBI_gene:57697	ORPHANET:84
NCBI_gene:29914	OMIM:121800
NCBI_gene:64321	OMIM:613674
NCBI_gene:673	OMIM:613706
NCBI_gene:1414	OMIM:611544
NCBI_gene:2074	OMIM:214150
NCBI_gene:6855	OMIM:300802
NCBI_gene:5897	OMIM:603554
NCBI_gene:6295	OMIM:258100
NCBI_gene:6323	OMIM:609634
NCBI_gene:9227	ORPHANET:791
NCBI_gene:65125	OMIM:201300
NCBI_gene:149461	OMIM:248190
NCBI_gene:10269	OMIM:275210
NCBI_gene:24	OMIM:153800
NCBI_gene:3717	ORPHANET:71493
NCBI_gene:1392	OMIM:122560
NCBI_gene:249	OMIM:241510
NCBI_gene:6598	OMIM:609322
NCBI_gene:126792	ORPHANET:75496
NCBI_gene:667	ORPHANET:89838
NCBI_gene:2316	OMIM:314400
NCBI_gene:54768	OMIM:608647
NCBI_gene:2624	OMIM:614172
NCBI_gene:4204	OMIM:300673
NCBI_gene:1605	OMIM:613818
NCBI_gene:9049	OMIM:219090
NCBI_gene:2626	OMIM:614429
NCBI_gene:83552	OMIM:611040
NCBI_gene:775	OMIM:611875
NCBI_gene:10000	OMIM:603387
NCBI_gene:7068	ORPHANET:3221
NCBI_gene:5406	OMIM:614338
NCBI_gene:284086	OMIM:613824
NCBI_gene:5631	OMIM:304500
NCBI_gene:1075	OMIM:170650
NCBI_gene:79722	ORPHANET:85408
NCBI_gene:80169	ORPHANET:1775
NCBI_gene:6535	OMIM:300352
NCBI_gene:57539	OMIM:613610
NCBI_gene:5521	OMIM:604326
NCBI_gene:340665	ORPHANET:79133
NCBI_gene:3857	OMIM:144200
NCBI_gene:6331	OMIM:113900
NCBI_gene:83544	ORPHANET:244
NCBI_gene:51360	OMIM:308205
NCBI_gene:78987	ORPHANET:1329
NCBI_gene:1277	OMIM:166710
NCBI_gene:8100	ORPHANET:564
NCBI_gene:2317	OMIM:112310
NCBI_gene:84282	OMIM:614192
NCBI_gene:5034	OMIM:176790
NCBI_gene:5961	OMIM:169150
NCBI_gene:9841	OMIM:614069
NCBI_gene:9409	OMIM:614877
NCBI_gene:55806	ORPHANET:701
NCBI_gene:1649	OMIM:613488
NCBI_gene:259232	OMIM:615419
NCBI_gene:8626	OMIM:605289
NCBI_gene:2778	OMIM:612462
NCBI_gene:7112	OMIM:613740
NCBI_gene:9897	OMIM:603563
NCBI_gene:3909	OMIM:226700
NCBI_gene:93589	OMIM:610478
NCBI_gene:10699	OMIM:614595
NCBI_gene:407053	OMIM:613074
NCBI_gene:2245	OMIM:305400
NCBI_gene:92344	OMIM:231070
NCBI_gene:116369	OMIM:606766
NCBI_gene:2651	OMIM:110800
NCBI_gene:339829	OMIM:613807
NCBI_gene:7259	OMIM:608800
