disease_id	disorder_label
OMIM:101200	Apert Syndrome
OMIM:101400	Saethre-Chotzen Syndrome
OMIM:101600	Pfeiffer Syndrome
OMIM:101600	Pfeiffer Syndrome, Type Iii
OMIM:101800	Acrodysostosis 1, With Hormone Resistance
OMIM:101800	Acrodysostosis 1, Without Hormone Resistance
OMIM:101800	Acrodysostosis 1, With Or Without Hormone Resistance
OMIM:101805	Acrofacial Dysostosis, Catania Type
OMIM:101840	Acrokeratoderma, Hereditary Papulotranslucent
OMIM:101850	Keratoderma, Palmoplantar, Punctate Type Iii
OMIM:101900	Acrokeratosis Verruciformis
OMIM:102000	Acroleukopathy, Symmetric
OMIM:102100	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma
OMIM:102150	Acromegaloid Facial Appearance Syndrome
OMIM:102200	Pituitary Adenoma, Growth Hormone-Secreting
OMIM:102200	Pituitary Adenoma, Acth-Secreting, Somatic
OMIM:102300	Restless Legs Syndrome, Susceptibility To, 1
OMIM:102350	Acromial Dimples
OMIM:102370	Acromicric Dysplasia
OMIM:102400	Acroosteolysis
OMIM:102480	Acrosin
OMIM:102500	Hajdu-Cheney Syndrome
OMIM:102510	Acropectorovertebral Dysplasia
OMIM:102520	Acrorenal Syndrome
OMIM:102530	Spermatogenic Failure 6
OMIM:102590	Acylase, Cobalt-Activated
OMIM:102600	Adenine Phosphoribosyltransferase
OMIM:102650	Adactylia, Unilateral
OMIM:102660	Adamantinoma Of Long Bones
OMIM:102699	Adeno-Associated Virus Integration Site 1
OMIM:102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Negative, Due To Adenosine Deaminase Deficiency, Late Onset
OMIM:102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Negative, Due To Adenosine Deaminase Deficiency, Late-Onset
OMIM:102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Negative, Due To Adenosine Deaminase Deficiency, B Cell-Negative, Nk Cell-Negative, Due To Ada Deficiency
OMIM:102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Negative, Due To Adenosine Deaminase Deficiency, Delayed Onset
OMIM:102700	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Negative, Due To Adenosine Deaminase Deficiency
OMIM:102730	Adenosine Deaminase, Elevated, Hemolytic Anemia Due To
OMIM:102770	Adenosine Monophosphate Deaminase 1
OMIM:102800	Adenosine Triphosphatase Deficiency, Anemia Due To
OMIM:102900	Adenosine Triphosphate, Elevated, Of Erythrocytes
OMIM:103000	Adenylate Kinase 1
OMIM:103050	Adenylosuccinase Deficiency
OMIM:103100	Adie Pupil
OMIM:103200	Adiposis Dolorosa
OMIM:103230	Adrenocortical Hypofunction, Chronic Primary Congenital
OMIM:103285	Adult Syndrome
OMIM:103300	Hypoglossia-Hypodactylia
OMIM:103400	Ainhum
OMIM:103420	Alacrima, Congenital
OMIM:103470	Albinism, Oculocutaneous Type I, Temperature-Sensitive
OMIM:103470	Albinism, Ocular, With Sensorineural Deafness
OMIM:103500	Tietz Syndrome
OMIM:103580	Pseudohypoparathyroidism, Type Ia
OMIM:103580	Pseudohypoparathyroidism, Type Ia, With Testotoxicosis
OMIM:103780	Alcohol Dependence
OMIM:103780	Alcohol Dependence, Protection Against
OMIM:103900	Glucocorticoid-Remediable Aldosteronism
OMIM:103920	Allergic Bronchopulmonary Aspergillosis, Familial
OMIM:103950	Alpha-2-Macroglobulin
OMIM:104000	Alopecia Areata 1
OMIM:104100	Palmoplantar Keratoderma And Congenital Alopecia, Autosomal Dominant
OMIM:104110	Alopecia, Familial Focal
OMIM:104130	Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality
OMIM:104150	Alpha-Fetoprotein
OMIM:104200	Alport Syndrome, Autosomal Dominant
OMIM:104290	Alternating Hemiplegia Of Childhood 1
OMIM:104300	Alzheimer Disease, Familial, 1
OMIM:104300	Alzheimer Disease, Susceptibility To
OMIM:104300	Alzheimer Disease, Late-Onset, Susceptibility To
OMIM:104300	Alzheimer Disease
OMIM:104300	Alzheimer Disease, Protection Against
OMIM:104300	Alzheimer Disease, Early-Onset, With Cerebral Amyloid Angiopathy
OMIM:104300	Alzheimer Disease, Familial, 1, Autosomal Recessive
OMIM:104310	Alzheimer Disease 2
OMIM:104311	Presenilin 1
OMIM:104350	Amastia, Bilateral, With Ureteral Triplication And Dysmorphism
OMIM:104400	Amelia And Terminal Transverse Hemimelia
OMIM:104500	Amelogenesis Imperfecta, Type Ib
OMIM:104510	Amelogenesis Imperfecta, Type Iv
OMIM:104530	Amelogenesis Imperfecta, Hypoplastic Type
OMIM:104570	Ameloonychohypohidrotic Syndrome
OMIM:104600	Amenorrhea-Galactorrhea Syndrome
OMIM:105120	Amyloidosis, Familial, Finnish Type
OMIM:105120	Amyloidosis, Finnish Type
OMIM:105150	Cerebral Amyloid Angiopathy, Cst3-Related
OMIM:105200	Amyloidosis, Systemic Nonneuropathic
OMIM:105200	Amyloidosis, Familial Visceral
OMIM:105200	Amyloidosis, Hepatic And Systemic
OMIM:105200	Amyloidosis, Cardiac And Cutaneous
OMIM:105210	Amyloidosis, Hereditary, Transthyretin-Related, Modifier Of
OMIM:105210	Amyloidosis, Hereditary, Transthyretin-Related
OMIM:105210	Amyloidosis, Leptomeningeal, Transthyretin-Related
OMIM:105250	Amyloidosis, Primary Localized Cutaneous, 1
OMIM:105300	Amyotrophic Dystonic Paraplegia
OMIM:105400	Amyotrophic Lateral Sclerosis 1
OMIM:105400	Amyotrophic Lateral Sclerosis 1, Autosomal Recessive
OMIM:105500	Amyotrophic Lateral Sclerosis-Parkinsonism/Dementia Complex 1, Susceptibility To
OMIM:105500	Amyotrophic Lateral Sclerosis-Parkinsonism/Dementia Complex 1
OMIM:105550	Frontotemporal Dementia And/Or Amyotrophic Lateral Sclerosis
OMIM:105563	Anal Sphincter Dysplasia
OMIM:105565	Anal Sphincter Myopathy, Internal
OMIM:105570	Androstenone, Ability To Smell
OMIM:105580	Anal Canal Carcinoma
OMIM:105600	Anemia, Dyserythropoietic Congenital, Type Iii
OMIM:105650	Diamond-Blackfan Anemia 1
OMIM:105800	Aneurysm, Intracranial Berry, 1
OMIM:105805	Aneurysm Of Interventricular Septum
OMIM:105830	Angelman Syndrome
OMIM:105835	Angel-Shaped Phalangoepiphyseal Dysplasia
OMIM:106050	Angioma Serpiginosum, Autosomal Dominant
OMIM:106070	Angioma, Hereditary Neurocutaneous
OMIM:106100	Angioedema, Hereditary, Type Ii
OMIM:106100	Angioedema, Hereditary, Autosomal Recessive
OMIM:106100	Angioedema, Hereditary, Type I
OMIM:106190	Anhidrosis, Familial Generalized, With Normal Sweat Glands
OMIM:106210	Aniridia
OMIM:106210	Aniridia, Atypical
OMIM:106220	Aniridia And Absent Patella
OMIM:106230	Aniridia, Microcornea, And Spontaneously Reabsorbed Cataract
OMIM:106240	Anisocoria
OMIM:106250	Ankyloblepharon Filiforme Adnatum And Cleft Palate
OMIM:106260	Ankyloblepharon-Ectodermal Defects-Cleft Lip/Palate
OMIM:106280	Ankyloglossia
OMIM:106300	Spondyloarthropathy, Susceptibility To, 1
OMIM:106400	Ankylosing Vertebral Hyperostosis With Tylosis
OMIM:106500	Annular Erythema
OMIM:106600	Tooth Agenesis, Selective, 1
OMIM:106600	Tooth Agenesis, Selective, With Or Without Orofacial Cleft
OMIM:106700	Total Anomalous Pulmonary Venous Return 1
OMIM:106750	Anonychia With Flexural Pigmentation
OMIM:106900	Anonychia-Ectrodactyly
OMIM:106990	Anonychia-Onychodystrophy With Brachydactyly Type B And Ectrodactyly
OMIM:106995	Anonychia-Onychodystrophy With Hypoplasia Or Absence Of Distal Phalanges
OMIM:107000	Nail Disorder, Nonsyndromic Congenital, 6
OMIM:107100	Anorectal Anomalies
OMIM:107200	Anosmia, Isolated Congenital
OMIM:107250	Anterior Segment Mesenchymal Dysgenesis
OMIM:107265	Cd19 Antigen
OMIM:107290	Antipyrine Metabolism
OMIM:107300	Serpin Peptidase Inhibitor, Clade C (Antithrombin), Member 1
OMIM:107320	Antiphospholipid Syndrome, Familial
OMIM:107400	Serpin Peptidase Inhibitor, Clade A, Member 1
OMIM:107410	Protease Inhibitor 1-Like
OMIM:107440	Antiviral State Repressor, Regulator Of
OMIM:107480	Townes-Brocks Syndrome
OMIM:107500	Aortic Arch Anomaly With Peculiar Facies And Mental Retardation
OMIM:107550	Aortic Arch Interruption, Facial Palsy, And Retinal Coloboma
OMIM:107600	Aplasia Cutis Congenita, Nonsyndromic
OMIM:107640	Apnea, Central Sleep
OMIM:107650	Apnea, Obstructive Sleep
OMIM:107680	Apolipoprotein A-I
OMIM:107690	Apolipoprotein A-Iv
OMIM:107700	Appendicitis, Proneness To
OMIM:107730	Apolipoprotein B
OMIM:107741	Apolipoprotein E
OMIM:107760	Apolipoprotein F
OMIM:107800	Arcus Corneae
OMIM:107850	Arm Folding Preference
OMIM:107900	Arms, Malformation Of
OMIM:107920	Aromatic Alpha-Keto Acid Reductase
OMIM:107950	Moved To 138800
OMIM:107970	Arrhythmogenic Right Ventricular Dysplasia, Familial, 1
OMIM:108000	Arteries, Anomalies Of
OMIM:108010	Arteriovenous Malformations Of The Brain
OMIM:108050	Arteritis, Familial Granulomatous, With Juvenile Polyarthritis
OMIM:108100	Arthritis, Sacroiliac
OMIM:108110	Arthrogryposis Multiplex Congenita
OMIM:108120	Arthrogryposis, Distal, Type 1a
OMIM:108120	Arthrogryposis, Distal, Type 1
OMIM:108145	Arthrogryposis, Distal, Type 5
OMIM:108200	Arthrogryposis, Distal, Type 6
OMIM:108300	Stickler Syndrome, Type I
OMIM:108320	Artichoke, Modification Of Taste By
OMIM:108330	Cytochrome P450, Subfamily I, Polypeptide 1
OMIM:108345	N-Acetyltransferase 1
OMIM:108370	Asparagine Synthetase
OMIM:108390	Asparagus, Specific Smell Hypersensitivity
OMIM:108420	Spermatogenic Failure 2
OMIM:108450	Asymmetric Short Stature Syndrome
OMIM:108500	Episodic Ataxia, Type 2, And Epilepsy
OMIM:108500	Episodic Ataxia, Type 2
OMIM:108600	Spastic Ataxia 1, Autosomal Dominant
OMIM:108650	Spastic Ataxia 7, Autosomal Dominant
OMIM:108700	Ataxia With Fasciculations
OMIM:108720	Atelosteogenesis, Type I
OMIM:108721	Atelosteogenesis, Type Iii
OMIM:108725	Atherosclerosis Susceptibility
OMIM:108760	Atresia Of External Auditory Canal And Conductive Deafness
OMIM:108770	Atrial Standstill
OMIM:108780	Natriuretic Peptide Precursor A
OMIM:108800	Atrial Septal Defect 1
OMIM:108900	Atrial Septal Defect 7 With Or Without Atrioventricular Conduction Defects, Somatic
OMIM:108900	Atrial Septal Defect 7 With Or Without Atrioventricular Conduction Defects
OMIM:108950	Atrial Tachyarrhythmia With Short Pr Interval
OMIM:108980	Pr Interval, Variation In
OMIM:108985	Sveinsson Chorioretinal Atrophy
OMIM:109000	Auriculoosteodysplasia
OMIM:109050	Aurocephalosyndactyly
OMIM:109100	Autoimmune Disease
OMIM:109120	Axenfeld-Rieger Anomaly With Partially Absent Eye Muscles, Distinctive Face, Hydrocephaly, And Skeletal Abnormalities
OMIM:109130	Axial Osteomalacia
OMIM:109150	Machado-Joseph Disease
OMIM:109160	Azotemia, Familial
OMIM:109180	Baboon M7 Virus Integration Site
OMIM:109200	Alopecia, Androgenetic, 1
OMIM:109270	Solute Carrier Family 4 (Anion Exchanger), Member 1
OMIM:109300	Banki Syndrome
OMIM:109350	Gastroesophageal Reflux
OMIM:109400	Basal Cell Nevus Syndrome
OMIM:109500	Basilar Impression, Primary
OMIM:109540	B-Cell Growth Factor
OMIM:109543	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
OMIM:109560	B-Cell Leukemia/Lymphoma 3
OMIM:109565	B-Cell Lymphoma 6
OMIM:109600	Beeturia
OMIM:109650	Behcet Syndrome
OMIM:109660	Beta-Amino Acids, Renal Transport Of
OMIM:109670	Beta-Adrenergic Stimulation, Response To
OMIM:109720	Biliary Cirrhosis, Primary, 1
OMIM:109730	Aortic Valve Disease 1
OMIM:109740	Bifid Nose, Autosomal Dominant
OMIM:109800	Bladder Cancer, Transitional Cell, Somatic
OMIM:109800	Bladder Cancer
OMIM:109800	Bladder Cancer, Somatic
OMIM:109820	Bladder Diverticulum
OMIM:109900	Blepharochalasis And Double Lip
OMIM:110000	Blepharochalasis, Superior
OMIM:110050	Blepharonasofacial Malformation Syndrome
OMIM:110100	Blepharophimosis, Ptosis, And Epicanthus Inversus
OMIM:110100	Blepharophimosis, Ptosis, And Epicanthus Inversus, Type Ii
OMIM:110100	Blepharophimosis, Ptosis, And Epicanthus Inversus, Type I
OMIM:110100	Blepharophimosis, Ptosis, And Epicanthus Inversus, Type I, Autosomal Recessive
OMIM:110150	Blepharoptosis, Myopia, And Ectopia Lentis
OMIM:110250	Blood Group--Abo Suppressor
OMIM:110310	Blood Group--Abh Antigen, Type 2
OMIM:110350	Blood Group--Ahonen
OMIM:110450	Blood Group--Colton
OMIM:110500	Blood Group--Diego System
OMIM:110700	Blood Group, Duffy System
OMIM:110720	Blood Group--En
OMIM:110800	Blood Group, I System
OMIM:110900	Blood Group--Kell System
OMIM:111000	Blood Group--Kidd System
OMIM:111130	Blood Group--Lke
OMIM:111150	Blood Group--Lutheran Inhibitor
OMIM:111200	Blood Group--Lutheran System
OMIM:111250	Blood Group System, Landsteiner-Wiener
OMIM:111360	Blood Group--Newfoundland
OMIM:111380	Blood Group--Ok
OMIM:111400	Blood Group, P1pk System
OMIM:111600	Blood Group, Langereis System
OMIM:111620	Radin Blood Group Antigen
OMIM:111690	Blood Group--Rhesus System E Polypeptide
OMIM:111750	Blood Group--Scianna System
OMIM:111800	Blood Group--Stoltzfus System
OMIM:112000	Blood Group--Ul System
OMIM:112010	Blood Group--Waldner Type
OMIM:112050	Blood Group--Wright Antigen
OMIM:112100	Yt Blood Group Antigen
OMIM:112200	Blue Rubber Bleb Nevus
OMIM:112240	Bone Fragility With Craniosynostosis, Ocular Proptosis, Hydrocephalus, And Distinctive Facial Features
OMIM:112250	Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma
OMIM:112270	Bone Pain, Periodic
OMIM:112300	Book Syndrome
OMIM:112310	Boomerang Dysplasia
OMIM:112350	Weismann-Netter Syndrome
OMIM:112370	Brachmann-De Lange-Like Facial Changes With Microcephaly, Metatarsus Adductus, And Developmental Delay
OMIM:112410	Hypertension With Brachydactyly
OMIM:112430	Long-Thumb Brachydactyly Syndrome
OMIM:112440	Brachydactyly, Combined B And E Types
OMIM:112450	Brachydactyly, Preaxial, With Hallux Varus And Thumb Abduction
OMIM:112500	Brachydactyly, Type A1
OMIM:112600	Brachydactyly, Type 2a
OMIM:112600	Brachydactyly, Type A2
OMIM:112700	Brachydactyly, Type A3
OMIM:112800	Brachydactyly, Type A4
OMIM:112900	Moved To 112800
OMIM:112910	Brachydactyly, Type A6
OMIM:113000	Brachydactyly, Type B1
OMIM:113100	Brachydactyly, Type C
OMIM:113200	Brachydactyly, Type D
OMIM:113200	Brachydactyly, Type E
OMIM:113300	Brachydactyly, Type E
OMIM:113300	Brachydactyly, Type E1
OMIM:113301	Brachydactyly, Type E, With Atrial Septal Defect, Type Ii
OMIM:113310	Brachydactyly-Ectrodactyly With Fibular Aplasia Or Hypoplasia
OMIM:113400	Brachydactyly-Nystagmus-Cerebellar Ataxia
OMIM:113450	Brachydactyly-Distal Symphalangism Syndrome
OMIM:113470	Brachymesomelia-Renal Syndrome
OMIM:113475	Brachymetatarsus Iv
OMIM:113477	Brachymorphism-Onychodysplasia-Dysphalangism Syndrome
OMIM:113480	Brachytelephalangy With Characteristic Facies And Kallmann Syndrome
OMIM:113500	Brachyolmia Type 3
OMIM:113600	Branchial Cleft Anomalies
OMIM:113610	Branchial Myoclonus With Spastic Paraparesis And Cerebellar Ataxia
OMIM:113620	Branchiooculofacial Syndrome
OMIM:113650	Branchiootorenal Syndrome 1
OMIM:113670	Hypertrophy Of The Breast, Juvenile
OMIM:113700	Breasts And Nipples, Absence Of
OMIM:113750	Skin/Hair/Eye Pigmentation, Variation In, 4
OMIM:113800	Epidermolytic Hyperkeratosis, Late-Onset
OMIM:113800	Epidermolytic Hyperkeratosis
OMIM:113900	Progressive Familial Heart Block, Type Ia
OMIM:113950	Bundle Branch Block, Familial Isolated Complete Right
OMIM:113960	Butyrylesterase 1
OMIM:113970	Burkitt Lymphoma
OMIM:114000	Caffey Disease
OMIM:114030	Cafe-Au-Lait Spots, Multiple
OMIM:114065	Calcific Aortic Disease With Immunologic Abnormalities, Familial
OMIM:114100	Basal Ganglia Calcification, Idiopathic, Childhood-Onset
OMIM:114140	Callosities, Hereditary Painful
OMIM:114150	Camptobrachydactyly
OMIM:114200	Camptodactyly 1
OMIM:114290	Campomelic Dysplasia
OMIM:114300	Arthrogryposis, Distal, Type 3
OMIM:114450	Cancer, Familial, With In Vitro Radioresistance
OMIM:114480	Breast Cancer, Familial
OMIM:114480	Breast Cancer
OMIM:114480	Breast Cancer, Invasive Ductal
OMIM:114480	Breast Cancer, Susceptibility To
OMIM:114480	Breast Cancer, Somatic
OMIM:114480	Breast Cancer, Susceptibility To, In Brca1 And Brca2 Carriers
OMIM:114480	Breast Cancer, Protection Against
OMIM:114480	Breast Cancer, Early-Onset
OMIM:114500	Colorectal Cancer
OMIM:114500	Colorectal Cancer, Susceptibility To
OMIM:114500	Colorectal Cancer, Somatic
OMIM:114550	Hepatocellular Carcinoma, Somatic
OMIM:114550	Hepatocellular Carcinoma, Childhood Type, Somatic
OMIM:114550	Hepatocellular Carcinoma
OMIM:114580	Candidiasis, Familial, 1
OMIM:114600	Canine Teeth, Absence Of Upper Permanent
OMIM:114620	Craniofaciofrontodigital Syndrome
OMIM:114650	Car Factor Deficiency
OMIM:114700	Carabelli Anomaly Of Maxillary Molar Teeth
OMIM:114835	Carboxylesterase 1
OMIM:114890	Carcinoembryonic Antigen-Related Cell Adhesion Molecule 5
OMIM:114900	Carcinoid Tumors, Intestinal
OMIM:115000	Cardiac Arrhythmia
OMIM:115080	Cardiac Conduction Defect, Susceptibility To
OMIM:115080	Cardiac Conduction Defect
OMIM:115150	Cardiofaciocutaneous Syndrome 1
OMIM:115195	Cardiomyopathy, Familial, Restrictive, 3
OMIM:115195	Cardiomyopathy, Familial Hypertrophic, 2
OMIM:115196	Cardiomyopathy, Familial Hypertrophic, 3
OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4, Susceptibility To
OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4
OMIM:115197	Cardiomyopathy, Dilated
OMIM:115200	Cardiomyopathy, Dilated, 1a
OMIM:115200	Cardiomyopathy, Dilated, With Hypergonadotripic Hypogonadism
OMIM:115210	Cardiomyopathy, Familial Restrictive, 1
OMIM:115250	Collagenoma, Familial Cutaneous
OMIM:115300	Hypercarotenemia And Vitamin A Deficiency, Autosomal Dominant
OMIM:115310	Paragangliomas 4
OMIM:115400	Carpal Displacement
OMIM:115430	Carpal Tunnel Syndrome, Familial
OMIM:115430	Carpal Tunnel Syndrome
OMIM:115470	Cat Eye Syndrome
OMIM:115500	Catalase
OMIM:115645	Cataract, Aberrant Oral Frenula, And Growth Retardation
OMIM:115650	Cataract 32, Multiple Types
OMIM:115660	Cataract 7
OMIM:115665	Cataract 8, Multiple Types
OMIM:115700	Cataract 4, Multiple Types
OMIM:115800	Cataract 29
OMIM:115900	Cataract, Floriform
OMIM:116100	Cataract 20, Multiple Types
OMIM:116150	Moved To 116200 And 107250
OMIM:116200	Cataract 1, Multiple Types
OMIM:116300	Cataract 30
OMIM:116400	Cataract, Nuclear Total
OMIM:116600	Cataract 6, Multiple Types
OMIM:116700	Cataract, Total Congenital
OMIM:116790	Catechol-O-Methyltransferase
OMIM:116800	Cataract 5, Multiple Types
OMIM:116850	Catatrichy
OMIM:116860	Cerebral Cavernous Malformations
OMIM:116870	Celiac Artery Stenosis From Compression By Median Arcuate Ligament Of Diaphragm
OMIM:116920	Leukocyte Adhesion Deficiency
OMIM:116920	Leukocyte Adhesion Deficiency, Type I
OMIM:116950	Temperature-Sensitive Af8 Complement
OMIM:117000	Central Core Disease Of Muscle
OMIM:117100	Centralopathic Epilepsy
OMIM:117210	Spinocerebellar Ataxia 31
OMIM:117300	Cerebral Amyloid Angiopathy, Itm2b-Related, 2
OMIM:117360	Spinocerebellar Ataxia 29
OMIM:117550	Sotos Syndrome 1
OMIM:117600	Cerebral Sarcoma
OMIM:117650	Cerebrocostomandibular Syndrome
OMIM:117800	Apocrine Gland Secretion, Variation In
OMIM:117850	Cervical Hypertrichosis With Underlying Kyphoscoliosis
OMIM:117900	Cervical Rib
OMIM:118000	Cervical Vertebral Bridge
OMIM:118005	Cervical Vertebral Dysplasia
OMIM:118100	Klippel-Feil Syndrome 1, Autosomal Dominant
OMIM:118200	Charcot-Marie-Tooth Disease, Type 1b, With Focally Folded Myelin Sheaths
OMIM:118200	Charcot-Marie-Tooth Disease, Type 2j
OMIM:118200	Charcot-Marie-Tooth Disease, Demyelinating, Type 1b
OMIM:118200	Charcot-Marie-Tooth Disease, Type 1b
OMIM:118200	Charcot-Marie-Tooth Disease, Type 2i
OMIM:118210	Charcot-Marie-Tooth Disease, Axonal, Type 2a1
OMIM:118220	Charcot-Marie-Tooth Disease, Type 1a, Autosomal Recessive
OMIM:118220	Charcot-Marie-Tooth Disease, Demyelinating, Type 1a
OMIM:118220	Charcot-Marie-Tooth Disease, Type 1a, With Focally Folded Myelin Sheaths
OMIM:118220	Charcot-Marie-Tooth Disease, Type 1a
OMIM:118230	Charcot-Marie-Tooth Disease, Guadalajara Neuronal Type
OMIM:118300	Charcot-Marie-Tooth Disease And Deafness
OMIM:118301	Charcot-Marie-Tooth Disease With Ptosis And Parkinsonism
OMIM:118330	Cheilitis Glandularis
OMIM:118350	Chemodectoma, Intraabdominal, With Cutaneous Angiolipomas
OMIM:118400	Cherubism
OMIM:118420	Chiari Malformation Type I
OMIM:118430	Chlorpropamide-Alcohol Flushing
OMIM:118450	Alagille Syndrome 1
OMIM:118511	Cholinergic Receptor, Neuronal Nicotinic, Alpha Polypeptide 7
OMIM:118600	Chondrocalcinosis 2, Sporadic
OMIM:118600	Chondrocalcinosis 2
OMIM:118610	Chondrocalcinosis Due To Apatite Crystal Deposition
OMIM:118650	Chondrodysplasia Punctata, Autosomal Dominant
OMIM:118651	Chondrodysplasia Punctata, Tibia-Metacarpal Type
OMIM:118670	Chondronectin
OMIM:118700	Chorea, Benign Hereditary
OMIM:118750	Choreoathetosis, Familial Inverted
OMIM:118800	Paroxysmal Nonkinesigenic Dyskinesia 1
OMIM:118830	Chylomicronemia, Familial, Due To Circulating Inhibitor Of Lipoprotein Lipase
OMIM:118840	Chromate Resistance
OMIM:118865	Choroidal Osteoma, Bilateral
OMIM:118900	Cirrhosis, Familial
OMIM:118943	Chymosin Pseudogene
OMIM:118980	Clavicle, Pseudarthrosis Of, Congenital
OMIM:119000	Cleft Chin
OMIM:119100	Split-Hand/Foot Malformation With Long Bone Deficiency 1
OMIM:119300	Van Der Woude Syndrome 1
OMIM:119500	Popliteal Pterygium Syndrome
OMIM:119530	Orofacial Cleft 1
OMIM:119540	Cleft Palate, Isolated
OMIM:119540	Cleft Palate, Isolated, And Mental Retardation
OMIM:119550	Syngnathia
OMIM:119570	Cleft Soft Palate
OMIM:119580	Blepharocheilodontic Syndrome
OMIM:119600	Cleidocranial Dysplasia
OMIM:119600	Cleidocranial Dysplasia, Forme Fruste
OMIM:119600	Cleidocranial Dysplasia, Severe, With Osteoporosis And Scoliosis
OMIM:119600	Cleidocranial Dysplasia, Forme Fruste, With Brachydactyly
OMIM:119650	Cleidorhizomelic Syndrome
OMIM:119800	Clubfoot, Congenital, With Or Without Deficiency Of Long Bones And/Or Mirror-Image Polydactyly
OMIM:119900	Digital Clubbing, Isolated Congenital
